id,price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,rating,reviews,name
e0971869c7,69999,lenovo,Ideapad Slim,5.0,8,15.6,512,8,,0.0,0,"Lenovo Ideapad Slim 3 i5 13th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD | Artic Grey"
9366b11c8c,62000,hp,14 ,3.0,8,14.0,1024,2,,0.0,0,"HP 14- DQ2055WM i3 11th Gen 4GB RAM 1TB HDD 14"" HD Display"
43643dd1df,184900,apple,MacBook Air,8.5,8,13.6,256,8,,0.0,0,"Apple MacBook Air (13-inch, M3 Chip) 8C-CPU, 8C-GPU, 8GB RAM, 256GB SSD - EvoStore"
185aa5fd1f,61500,asus,Vivobook X415Ea,3.0,4,14.0,256,4,,0.0,0,"Asus Vivobook X415Ea - 11Th I3 14 Inch,4Gb/256Gb,Intel Core I3"
18ee3d315a,123590,acer,Predator Triton,7.0,16,14.0,512,8,3060.0,0.0,0,Acer Predator Triton 300 SE i7 11th Gen RTX 3060 16gb Ram 512gb SSD 144hz 14inch Display
bf1cb8c9f1,405000,apple,MacBook Pro,6.5,16,16.0,1024,10,2500.0,0.0,0,"Apple MacBook Pro (16-inch, Apple M1 Pro chip with 10‑core CPU and 16‑core GPU, 16GB RAM, 1TB SSD)"
5af48ec3de,459279,apple,Macbook Pro,6.5,32,16.0,1024,10,2500.0,0.0,0,"Apple Macbook Pro 16"" 10C Cpu, 32C Gpu, 32Gb, 1Tb Ssd- Evostore"
4d569dce11,56000,lenovo,IdeaPad 1,5.0,8,15.6,256,2,,0.0,0,"Lenovo IdeaPad 1 15ADA7 2021 Ryzen 3 3250 / 8GB RAM / 256GB SSD / 15.6"" FHD display"
21ffac2d26,395000,apple,MacBook Pro,6.5,16,16.0,1024,6,2500.0,0.0,0,"Apple MacBook Pro 16.2"" 10-Core CPU 16-Core GPU 16GB 1TB - Oliz Store"
d9ec5001ac,137499,asus,ZenBook Q420VA,7.0,16,14.0,512,14,2800.0,0.0,0,Asus ZenBook Q420VA Intel EVO i7 13700H – 16GB DDR5 RAM – 512GB NVMe SSD – 14.5″ 2.8K OLED TouchScreen Display – Inkwell Gray – Windows 11 Home
e96f23004a,69990,acer,Aspire 5,5.0,8,15.6,512,6,,0.0,0,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11"
a822723a98,368000,apple,MacBook Pro,6.5,16,14.0,1024,6,2500.0,0.0,0,"Apple MacBook Pro 14.2"" 10-Core CPU 16-Core GPU 16GB 1TB -Oliz Store"
1dc0f1a227,80000,lenovo,Ideapad 3,5.0,8,14.0,512,4,2800.0,0.0,0,"Lenovo Ideapad 3 2020 i5 /10th Gen / 8GB RAM / 512GB SSD / 14"" FHD display"
19825a78f6,85000,acer,Aspire 5,5.0,8,14.0,512,10,,0.0,0,"Acer Aspire 5 i5 13th Generation 2023 - 8GB DDR5 RAM - 512GB NVMe SSD 14"" FHD Display - Steel Grey"
b3e6581d84,114000,dell,Inspirion 3501,7.0,8,15.6,512,4,,0.0,0,"Dell Inspirion 3501 i7 11th Gen 8GB RAM 512GB SSD Nvidia MX330 15.6"" FHD Display"
205626354f,108000,asus,VivoBook 14,7.0,8,14.0,512,8,2000.0,0.0,0,"Asus VivoBook 14 M413IA Ryzen 7 4700U / 8GB RAM / 512GB SSD / 14"" FHD Display"
2dfd384f56,179990,lenovo,ThinkPad Z13,7.0,16,13.3,512,8,2800.0,0.0,0,"Lenovo ThinkPad Z13 Ryzen 7 Pro 6850U/ 16 GB DDR5 RAM/512 GB NVME SSD/ 13.3"" IPS Touch / FP/ Backlit Keyboard/Win 11 Professional (Business Series Laptop)"
880b8764e9,118990,lenovo,Thinkpad L14,5.0,16,14.0,512,4,2800.0,0.0,0,"Lenovo Thinkpad L14 Core i5 11th Gen/ 16 GB RAM / 512GB SSD Nvme/14"" FHD IPS/Backlit keyboard/Win 11 Professional Genuine"
332bdade03,97000,acer,Aspire 5,7.0,8,15.6,256,8,,0.0,0,"Acer Aspire 5 2021 Ryzen 7 5700U / 8GB RAM / 256GB SSD / 15.6"" FHD Display / Backlight Keyboard"
87f320536b,345000,apple,Macbook Pro,6.5,16,16.0,1024,10,2500.0,0.0,0,"Apple Macbook Pro 16"" 10C Cpu, 16C Gpu, 16Gb, 1Tb Ssd- Evostore"
24819679d8,64999,dell,Vostro 3520,5.0,16,15.6,256,10,,0.0,0,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black"
86ba3f3a8f,95000,acer,Aspire 5,5.0,8,15.6,256,12,,0.0,0,"Acer Aspire 5 2023 13th Gen i5 / 8GB RAM / 256GB SSD / 15.6"" FHD Display"
2d1613588e,335000,apple,Macbook Pro,7.5,24,13.3,1024,8,2800.0,0.0,0,"Apple Macbook Pro (13-Inch, M2, 2022) | M2 Chip, 8C Cpu, 10C Gpu, 24Gb Ram, 1Tb Ssd - Evostore"
a0a7633cda,31999,lenovo,Laptop 4,2.0,4,15.6,256,2,,0.0,0,Lenovo Laptop 4 GB RAM 256 GB Storage | LENOVO V15 LAPTOP
e80d9a3989,105000,asus,ZenBook Q408UG,5.0,8,14.0,256,6,,0.0,0,Asus ZenBook Q408UG Ryzen 5 4500U 8GB RAM 256GB SSD MX450 2GB 14” FHD display
9377d279ee,76000,acer,Aspire A514,5.0,8,14.0,256,6,,0.0,0,"Acer Aspire A514-54-501Z 14"" 8GB 256GB SSD Core i5-1135G7 2.4GHz, Gold"
87bf10889f,127999,hp,Envy i7,7.0,16,14.0,1024,10,,0.0,0,"HP Envy i7 13th Gen | 16GB DDR4 | 1TB SSD | 14"" FHD IPS x360 Touch Display | FPR | Win 11"
492390c3d7,59999,acer,Aspire 3,5.0,8,15.6,256,6,,0.0,0,Acer Aspire 3 With i5 12th Gen Processor 15.6 Inch FHD Display 8GB RAM 256GB ROM
